player_id,positive_drivers,negative_drivers
111811,league minutes (+0.126); disciplinary record (+0.063); club squad rotation (+0.044); position: Defender (+0.026); minutes consistency (+0.025),age (-1.660); league context (-0.248); goal contributions per 90 (-0.199); height (-0.106); minutes last season (-0.056)
111873,league minutes (+0.345); league context (+0.339); height (+0.235); 3-season average minutes (+0.133); minutes last season (+0.109),age (-0.980); goal contributions per 90 (-0.170); 3-season average output (-0.060); goals per 90 (-0.052); disciplinary record (-0.039)
112515,seasons of top-5 history (+0.340); league minutes (+0.171); league context (+0.130); minutes per appearance (+0.130); 3-season average output (+0.068),age (-1.455); gap since last season (-0.189); goal contributions per 90 (-0.145); 3-season average minutes (-0.054); minutes last season (-0.046)
113707,seasons of top-5 history (+0.268); position: Midfield (+0.120); 3-season average minutes (+0.092); 3-season average output (+0.090); assists per 90 (+0.085),age (-1.712); league context (-0.286); league minutes (-0.221); minutes per appearance (-0.133); club squad rotation (-0.115)
116088,goal contributions per 90 (+0.387); seasons of top-5 history (+0.062); assists/90 last season (+0.052); goals per 90 (+0.046); assists per 90 (+0.043),age (-1.015); league context (-0.257); club squad rotation (-0.120); minutes consistency (-0.095); league minutes (-0.066)
117478,disciplinary record (+0.070); appearances (+0.045); position: Defender (+0.027); gap since last season (+0.024); minutes consistency (+0.024),league minutes (-0.257); goal contributions per 90 (-0.236); age (-0.171); league context (-0.153); height (-0.094)
117674,seasons of top-5 history (+0.202); league minutes (+0.165); 3-season average minutes (+0.139); minutes per appearance (+0.108); minutes last season (+0.097),age (-0.535); league context (-0.375); height (-0.035); club squad rotation (-0.019); foot: left (-0.018)
118284,seasons of top-5 history (+0.337); position: Midfield (+0.110); club squad rotation (+0.091); 3-season average minutes (+0.090); minutes last season (+0.034),age (-1.084); goal contributions per 90 (-0.170); league context (-0.090); league minutes (-0.070); goals per 90 (-0.050)
118534,league context (+0.290); seasons of top-5 history (+0.192); 3-season average minutes (+0.137); position: Defender (+0.064); goals per 90 (+0.045),age (-0.948); league minutes (-0.273); gap since last season (-0.255); minutes consistency (-0.077); minutes last season (-0.040)
118689,seasons of top-5 history (+0.198); league context (+0.068); position: Defender (+0.059); disciplinary record (+0.057); club squad rotation (+0.052),age (-0.842); league minutes (-0.201); minutes per appearance (-0.095); goal contributions per 90 (-0.093); minutes consistency (-0.056)
118847,seasons of top-5 history (+0.230); league minutes (+0.141); minutes last season (+0.105); position: Defender (+0.033); minutes per appearance (+0.030),age (-0.533); league context (-0.242); goal contributions per 90 (-0.173); disciplinary record (-0.088); height (-0.074)
